add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
divide,100,5
add,10,20
subtract,100,50
multiply,40,30
